,code,station,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y,07-10 totavg,10-17 totavg,17-22 totavg,commute,Total,com,coms,many75,trans
77,30077,까치울,28366,6626,9301,7699,7386,19606,37.506207,126.810939,17496.0,8500.0,13496.0,30992.0,39492.0,0.7847665349944293,1,0,1
78,30078,낙성대(강감찬),84929,26389,32898,26484,29499,63257,37.47693,126.963693,55659.0,29691.0,46378.0,102037.0,131728.0,0.7746037288959067,1,1,0
79,30079,남구로,29026,57910,15453,16343,35960,24837,37.486056,126.887249,43468.0,15898.0,30398.5,73866.5,89764.5,0.8228921232781333,1,1,1
80,30080,남동인더스파크,1392,12792,2176,1427,6791,1445,37.407722,126.695216,7092.0,1801.5,4118.0,11210.0,13011.5,0.8615455558544365,1,0,0
81,30081,남부터미널(예술의전당),33322,98077,42630,44199,76896,40560,37.485013,127.016189,65699.5,43414.5,58728.0,124427.5,167842.0,0.7413370908354285,0,1,1
82,30082,남성,40706,10712,14809,12744,11133,26258,37.484596,126.971251,25709.0,13776.5,18695.5,44404.5,58181.0,0.7632130764338874,1,0,1
83,30083,남영,12878,35061,12520,11511,23318,14068,37.541021,126.9713,23969.5,12015.5,18693.0,42662.5,54678.0,0.7802498262555324,1,0,1
84,30084,남춘천,4128,3489,5197,5199,3822,4731,37.864007,127.723792,3808.5,5198.0,4276.5,8085.0,13283.0,0.6086727395919597,0,0,1
85,30085,남태령,3012,3269,2100,1254,2121,1525,37.463873,126.989134,3140.5,1677.0,1823.0,4963.5,6640.5,0.7474587756946013,0,0,0
86,30086,남한산성입구(성남법원.검찰청),47856,17750,17930,13998,13768,29331,37.451535,127.159816,32803.0,15964.0,21549.5,54352.5,70316.5,0.7729693599652998,1,0,0
87,30087,내방,20583,47825,16810,15932,32732,18501,37.487618,126.993513,34204.0,16371.0,25616.5,59820.5,76191.5,0.7851335122684289,1,1,1
88,30088,노들,15083,3234,6287,4753,4331,9950,37.512887,126.953222,9158.5,5520.0,7140.5,16299.0,21819.0,0.7470094871442321,0,0,0
89,30089,노량진,41110,34049,23709,22466,30656,38890,37.514219,126.942454,37579.5,23087.5,34773.0,72352.5,95440.0,0.7580940905280805,1,1,1
90,30090,노원,40422,29232,30023,31835,31429,47295,37.655128,127.061368,34827.0,30929.0,39362.0,74189.0,105118.0,0.7057687551133013,0,1,1
91,30091,녹번,54310,11600,18203,12791,11827,34523,37.600927,126.935756,32955.0,15497.0,23175.0,56130.0,71627.0,0.7836430396358915,1,0,0
92,30092,녹사평(용산구청),6244,10646,6787,7942,12459,9624,37.534675,126.986695,8445.0,7364.5,11041.5,19486.5,26851.0,0.7257271609995903,0,0,1
93,30093,녹양,14223,5690,6601,5165,4987,10556,37.75938,127.042292,9956.5,5883.0,7771.5,17728.0,23611.0,0.750836474524586,1,0,0
94,30094,녹천,16701,3641,6718,4806,3744,10142,37.644799,127.051269,10171.0,5762.0,6943.0,17114.0,22876.0,0.7481203007518797,0,0,0
